semana_fin,fecha_dato,anio,mes,semana_iso,geografia,tipo_geografia,municipio_referencia,orden_geografia,categoria,cadencia,orden_variable,variable,etiqueta_variable,descripcion_variable,valor,unidad,decimales,color,fuente,dias_observados,indice_base_100,cambio_1s_absoluto,cambio_1s_pct,cambio_4s_pct,cambio_1m_pct,cambio_12m_pct,promedio_movil_4s,promedio_movil_12s,anomalia_z_52s,estado_anomalia,direccion_cambio,ranking_departamental,percentil_departamental,diferencia_mediana_departamentos
2026-06-21,2026-06-18,2026,6,25,GLOBAL,Global,No aplica,0,Mercado,Semanal (último cierre disponible),2,precio_cafe_arabica,Precio internacional del café arábica,Futuro ICE Coffee C expresado en centavos de dólar por libra,275.1000061035156,USc/lb,1,#0F766E,yfinance,4,173.78395502214164,17.899994,6.959562,1.00973,,,261.100006,282.304169,-1.225069,Por debajo de su historia,Sube,,,
2026-06-21,2026-06-19,2026,6,25,COLOMBIA,Nacional,No aplica,1,Mercado,Semanal (último cierre disponible),1,fx_usd_local,Tasa de cambio USD/COP,Pesos colombianos por un dólar estadounidense,3444.47998046875,COP/USD,0,#2563EB,yfinance,5,69.39716805679824,-55.649902,-1.589938,-6.674653,,,3543.394958,3628.156657,-2.302148,Muy por debajo de su historia,Baja,,,
2026-06-21,2026-06-21,2026,6,25,COLOMBIA,Nacional,No aplica,1,Mercado,Semanal (último dato disponible),3,precio_interno_referencia,Precio interno de referencia FNC,Precio base por carga de 125 kg de café pergamino seco,2110000.0,COP/carga_125kg,0,#B7791F,FNC,7,111.93633952254642,80000.0,3.940887,-4.090909,,,2083000.0,2175833.333333,-1.285978,Por debajo de su historia,Sube,,,
2026-06-21,2026-06-21,2026,6,25,Caldas,Departamental,Manizales,2,Clima,Semanal,6,precipitacion_semanal,Precipitación semanal,Lluvia acumulada en la coordenada municipal de referencia,139.8,mm,1,#0284C7,open-meteo,7,,66.0,89.430894,-3.983516,,,114.3,84.55,1.129474,Por encima de su historia,Sube,1.0,100.0,98.2
2026-06-21,2026-06-21,2026,6,25,Caldas,Departamental,Manizales,2,Clima,Semanal,7,temp_min_semanal,Temperatura mínima semanal,Menor temperatura mínima diaria de la semana,11.0,°C,1,#4F46E5,open-meteo,7,,-1.0,,,,,12.275,11.283333,0.832144,Dentro de su rango histórico,Baja,6.0,16.666667,-3.75
2026-06-21,2026-06-21,2026,6,25,Caldas,Departamental,Manizales,2,Clima,Semanal,8,temp_max_semanal,Temperatura máxima semanal,Mayor temperatura máxima diaria de la semana,21.0,°C,1,#DC2626,open-meteo,7,,-2.5,,,,,21.9,22.166667,-0.368582,Dentro de su rango histórico,Baja,6.0,16.666667,-4.45
2026-06-21,2026-06-21,2026,6,25,Caldas,Departamental,Manizales,2,Clima,Semanal,9,temp_promedio_semanal,Temperatura promedio semanal,Promedio de los puntos medios diarios de temperatura,15.6786,°C,1,#D97706,open-meteo,7,,-1.0,,,,,16.41965,16.3506,0.240532,Dentro de su rango histórico,Baja,6.0,16.666667,-4.0821
2026-06-21,2026-06-21,2026,6,25,Huila,Departamental,Pitalito,3,Clima,Semanal,6,precipitacion_semanal,Precipitación semanal,Lluvia acumulada en la coordenada municipal de referencia,30.8,mm,1,#0284C7,open-meteo,7,,-22.1,-41.776938,5.119454,,,33.9,33.291667,-0.400519,Dentro de su rango histórico,Baja,4.0,50.0,-10.8
2026-06-21,2026-06-21,2026,6,25,Huila,Departamental,Pitalito,3,Clima,Semanal,7,temp_min_semanal,Temperatura mínima semanal,Menor temperatura mínima diaria de la semana,14.4,°C,1,#4F46E5,open-meteo,7,,-0.4,,,,,15.15,15.166667,0.351568,Dentro de su rango histórico,Baja,4.0,50.0,-0.35
2026-06-21,2026-06-21,2026,6,25,Huila,Departamental,Pitalito,3,Clima,Semanal,8,temp_max_semanal,Temperatura máxima semanal,Mayor temperatura máxima diaria de la semana,25.9,°C,1,#DC2626,open-meteo,7,,-3.9,,,,,27.275,27.3,-0.695876,Dentro de su rango histórico,Baja,2.0,83.333333,0.45
2026-06-21,2026-06-21,2026,6,25,Huila,Departamental,Pitalito,3,Clima,Semanal,9,temp_promedio_semanal,Temperatura promedio semanal,Promedio de los puntos medios diarios de temperatura,20.0643,°C,1,#D97706,open-meteo,7,,-1.3,,,,,20.862525,20.952975,-0.195714,Dentro de su rango histórico,Baja,2.0,83.333333,0.3036
2026-06-21,2026-06-21,2026,6,25,Antioquia,Departamental,Andes,4,Clima,Semanal,6,precipitacion_semanal,Precipitación semanal,Lluvia acumulada en la coordenada municipal de referencia,52.4,mm,1,#0284C7,open-meteo,7,,8.5,19.362187,16.703786,,,56.825,52.008333,-0.410725,Dentro de su rango histórico,Sube,3.0,66.666667,10.8
